Device,Date,Temperature
Device_1,2016-12-06,0.7895
Device_2,2016-12-06,0.81
Device_1,2016-11-06,0.7504
Device_2,2016-11-06,0.93
Device_1,2016-10-06,0.7292
Device_2,2016-10-06,0.89
Device_1,2016-09-06,0.8767
Device_2,2016-09-06,0.87
Device_1,2016-08-06,0.8998
Device_2,2016-08-06,0.98
Device_1,2016-07-06,0.8687
Device_2,2016-07-06,0.83
Device_1,2016-06-06,0.9006
Device_2,2016-06-06,0.76
Device_1,2016-05-06,0.8738
Device_2,2016-05-06,0.93
Device_1,2016-04-06,1.0733
Device_2,2016-04-06,1.09
Device_1,2016-03-06,1.2245
Device_2,2016-03-06,1.3
Device_1,2016-02-06,1.1921
Device_2,2016-02-06,1.35
Device_1,2016-01-06,1.0569
Device_2,2016-01-06,1.17
Device_1,2015-12-06,1.1219
Device_2,2015-12-06,1.11
Device_1,2015-11-06,0.9655
Device_2,2015-11-06,1.04
Device_1,2015-10-06,0.9913
Device_2,2015-10-06,1.06
Device_1,2015-09-06,0.9260
Device_2,2015-09-06,0.81
Device_1,2015-08-06,0.8746
Device_2,2015-08-06,0.78
Device_1,2015-07-06,0.8072
Device_2,2015-07-06,0.71
Device_1,2015-06-06,0.8835
Device_2,2015-06-06,0.78
Device_1,2015-05-06,0.8584
Device_2,2015-05-06,0.78
Device_1,2015-04-06,0.7741
Device_2,2015-04-06,0.74
Device_1,2015-03-06,0.8969
Device_2,2015-03-06,0.9
Device_1,2015-02-06,0.8843
Device_2,2015-02-06,0.86
Device_1,2015-01-06,0.8141
Device_2,2015-01-06,0.81
Device_1,2014-12-06,0.8308
Device_2,2014-12-06,0.79
Device_1,2014-11-06,0.6895
Device_2,2014-11-06,0.67
Device_1,2014-10-06,0.7851
Device_2,2014-10-06,0.85
Device_1,2014-09-06,0.7872
Device_2,2014-09-06,0.9
Device_1,2014-08-06,0.7986
Device_2,2014-08-06,0.82
Device_1,2014-07-06,0.6988
Device_2,2014-07-06,0.57
Device_1,2014-06-06,0.7623
Device_2,2014-06-06,0.66
Device_1,2014-05-06,0.7938
Device_2,2014-05-06,0.87
Device_1,2014-04-06,0.8006
Device_2,2014-04-06,0.78
Device_1,2014-03-06,0.7695
Device_2,2014-03-06,0.77
Device_1,2014-02-06,0.4800
Device_2,2014-02-06,0.51
Device_1,2014-01-06,0.6936
Device_2,2014-01-06,0.73
Device_1,2013-12-06,0.6981
Device_2,2013-12-06,0.67
Device_1,2013-11-06,0.8293
Device_2,2013-11-06,0.81
Device_1,2013-10-06,0.6787
Device_2,2013-10-06,0.69
Device_1,2013-09-06,0.6857
Device_2,2013-09-06,0.78
Device_1,2013-08-06,0.6605
Device_2,2013-08-06,0.66
Device_1,2013-07-06,0.6662
Device_2,2013-07-06,0.59
Device_1,2013-06-06,0.6838
Device_2,2013-06-06,0.65
Device_1,2013-05-06,0.7141
Device_2,2013-05-06,0.61
Device_1,2013-04-06,0.5610
Device_2,2013-04-06,0.52
Device_1,2013-03-06,0.6139
Device_2,2013-03-06,0.66
Device_1,2013-02-06,0.6357
Device_2,2013-02-06,0.55
Device_1,2013-01-06,0.5873
Device_2,2013-01-06,0.68
Device_1,2012-12-06,0.4655
Device_2,2012-12-06,0.53
Device_1,2012-11-06,0.7087
Device_2,2012-11-06,0.75
Device_1,2012-10-06,0.7022
Device_2,2012-10-06,0.78
Device_1,2012-09-06,0.7266
Device_2,2012-09-06,0.76
Device_1,2012-08-06,0.6694
Device_2,2012-08-06,0.63
Device_1,2012-07-06,0.6884
Device_2,2012-07-06,0.57
